STN,NAME,LAT,LON,ALT_M,TYPE
159,부산,35.1047,129.032,69.56,ASOS
296,북부산,35.2178,128.9602,3,ASOS/AWS
160,부산(레)_구덕산,35.1188,129.000,518.46,AWS
904,사상,35.137,128.9675,4.28,AWS
910,영도,35.0661,129.0742,138.96,AWS
921,가덕도,34.9931,128.8314,75.63,AWS
923,기장,35.2751,129.2511,65.99,AWS
937,해운대,35.1761,129.1624,63.72,AWS
938,부산진,35.1589,129.0193,114.38,AWS
939,금정구,35.2932,129.1035,49.26,AWS
940,동래,35.2091,129.0901,70.07,AWS
941,북구,35.213,129.0026,6.94,AWS
942,부산남구,35.1186,129.0884,124.26,AWS
950,사하,35.090,128.9839,127,AWS
968,남항,35.081,129.045,78.58,AWS
969,북항,35.091,129.127,37.72,AWS
