split,구분,지역,시나리오,재현빈도,지속시간_분,이미지수,타일번호_최대,강우_1시간mm,강우_24시간mm
Training,내수,동래구,030yr_060,030,060,259,331,90.21,90.21
Training,내수,동래구,030yr_120,030,120,246,303,90.21,125.76
Training,내수,동래구,030yr_180,030,180,213,258,90.21,150.74
Training,내수,동래구,050yr_060,050,060,276,346,98.23,98.23
Training,내수,동래구,050yr_120,050,120,257,318,98.23,138.57
Training,내수,동래구,050yr_180,050,180,225,280,98.23,164.15
Training,내수,동래구,080yr_060,080,060,273,351,106.63,106.63
Training,내수,동래구,080yr_120,080,120,277,339,106.63,150.57
Training,내수,동래구,080yr_180,080,180,243,300,106.63,178.36
Training,내수,동래구,200yr_060,200,060,333,413,130.16,130.16
Training,내수,동래구,200yr_120,200,120,271,339,130.16,176.56
Training,내수,동래구,200yr_180,200,180,252,319,130.16,208.89
Training,내수,동래구,300yr_060,300,060,327,423,136.64,136.64
Training,내수,동래구,300yr_120,300,120,275,342,136.64,187.88
Training,내수,동래구,300yr_180,300,180,263,330,136.64,222.11
Training,내수,동래구,500yr_060,500,060,353,428,145.64,145.64
Training,내수,동래구,500yr_120,500,120,287,348,145.64,199.72
Training,내수,동래구,500yr_180,500,180,251,334,145.64,238.41
Training,내수,북구,030yr_060,030,060,133,167,90.21,90.21
Training,내수,북구,030yr_120,030,120,79,106,90.21,125.76
Training,내수,북구,030yr_180,030,180,78,103,90.21,150.74
Training,내수,북구,050yr_060,050,060,133,178,98.23,98.23
Training,내수,북구,050yr_120,050,120,110,141,98.23,138.57
Training,내수,북구,050yr_180,050,180,90,107,98.23,164.15
Training,내수,북구,080yr_060,080,060,148,186,106.63,106.63
Training,내수,북구,080yr_120,080,120,111,151,106.63,150.57
Training,내수,북구,080yr_180,080,180,90,114,106.63,178.36
Training,내수,북구,200yr_060,200,060,171,212,130.16,130.16
Training,내수,북구,200yr_120,200,120,146,197,130.16,176.56
Training,내수,북구,200yr_180,200,180,116,150,130.16,208.89
Training,내수,북구,300yr_060,300,060,191,245,136.64,136.64
Training,내수,북구,300yr_120,300,120,148,190,136.64,187.88
Training,내수,북구,300yr_180,300,180,126,151,136.64,222.11
Training,내수,북구,500yr_060,500,060,197,244,145.64,145.64
Training,내수,북구,500yr_120,500,120,164,199,145.64,199.72
Training,내수,북구,500yr_180,500,180,119,159,145.64,238.41
Training,내수,사상구,030yr_060,030,060,317,394,90.21,90.21
Training,내수,사상구,030yr_120,030,120,231,303,90.21,125.76
Training,내수,사상구,030yr_180,030,180,159,208,90.21,150.74
Training,내수,사상구,050yr_060,050,060,348,443,98.23,98.23
Training,내수,사상구,050yr_120,050,120,281,371,98.23,138.57
Training,내수,사상구,050yr_180,050,180,220,297,98.23,164.15
Training,내수,사상구,080yr_060,080,060,366,466,106.63,106.63
Training,내수,사상구,080yr_120,080,120,333,409,106.63,150.57
Training,내수,사상구,080yr_180,080,180,260,329,106.63,178.36
Training,내수,사상구,200yr_060,200,060,404,507,130.16,130.16
Training,내수,사상구,200yr_120,200,120,356,446,130.16,176.56
Training,내수,사상구,200yr_180,200,180,291,378,130.16,208.89
Training,내수,사상구,300yr_060,300,060,411,509,136.64,136.64
Training,내수,사상구,300yr_120,300,120,364,458,136.64,187.88
Training,내수,사상구,300yr_180,300,180,333,422,136.64,222.11
Training,내수,사상구,500yr_060,500,060,416,530,145.64,145.64
Training,내수,사상구,500yr_120,500,120,386,491,145.64,199.72
Training,내수,사상구,500yr_180,500,180,333,440,145.64,238.41
Training,내수,중구,030yr_060,030,060,50,67,90.21,90.21
Training,내수,중구,030yr_120,030,120,18,20,90.21,125.76
Training,내수,중구,030yr_180,030,180,18,20,90.21,150.74
Training,내수,중구,050yr_060,050,060,72,96,98.23,98.23
Training,내수,중구,050yr_120,050,120,35,52,98.23,138.57
Training,내수,중구,050yr_180,050,180,16,20,98.23,164.15
Training,내수,중구,080yr_060,080,060,82,100,106.63,106.63
Training,내수,중구,080yr_120,080,120,50,62,106.63,150.57
Training,내수,중구,080yr_180,080,180,18,20,106.63,178.36
Training,내수,중구,200yr_060,200,060,89,112,130.16,130.16
Training,내수,중구,200yr_120,200,120,56,70,130.16,176.56
Training,내수,중구,200yr_180,200,180,18,20,130.16,208.89
Training,내수,중구,300yr_060,300,060,92,112,136.64,136.64
Training,내수,중구,300yr_120,300,120,55,71,136.64,187.88
Training,내수,중구,300yr_180,300,180,44,53,136.64,222.11
Training,내수,중구,500yr_060,500,060,93,112,145.64,145.64
Training,내수,중구,500yr_120,500,120,78,100,145.64,199.72
Training,내수,중구,500yr_180,500,180,45,57,145.64,238.41
Training,외수,동천,100yr,100,,41,53,111.35,354.39
