재현빈도,지속시간_분,이미지수,강우_1시간mm,강우_24시간mm
030,060,854,90.21,90.21
030,120,641,90.21,125.76
030,180,524,90.21,150.74
050,060,948,98.23,98.23
050,120,768,98.23,138.57
050,180,621,98.23,164.15
080,060,982,106.63,106.63
080,120,866,106.63,150.57
080,180,680,106.63,178.36
100,,1596,111.35,354.39
150,,1660,121.96,374.2
200,,1803,130.16,396.27
200,060,1133,130.16,130.16
200,120,923,130.16,176.56
200,180,774,130.16,208.89
300,,1970,136.64,412.06
300,060,1155,136.64,136.64
300,120,961,136.64,187.88
300,180,856,136.64,222.11
500,,1992,145.64,433.7
500,060,1179,145.64,145.64
500,120,1027,145.64,199.72
500,180,850,145.64,238.41
