지구명,시군구,유형,등급,침수,유효,지정면적,lon,lat,정밀도
반여1지구,해운대구,001,2,True,True,107260.0,129.13472508850845,35.19945533156162,search:구+base
15호군도,기장군,002,2,False,False,3400.0,129.201115806474,35.297845498798694,구중심근사
북구보건소,북구,001,2,True,False,23000.0,129.01478549896785,35.239226448354465,search:지구명
대천천,북구,001,2,True,False,42353.0,129.02773839504314,35.24373159949816,search:지구명
암남(진정산)지구,서구,002,2,False,False,654.0,129.0127881159039,35.070415927906346,search:구+base
남부민지구,서구,002,3,False,False,,129.01715180029328,35.083113427491384,search:구+base
범천1지구,부산진구,001,1,True,False,,129.05761119572347,35.14283639694683,search:구+base
양달마을,북구,001,2,True,False,14000.0,129.07431239749005,35.125423928857224,search:지구명
덕천교차로,북구,001,2,True,True,75707.0,129.0050000038066,35.208540001977816,search:지구명
대저1지구,강서구,001,2,True,False,2482625.0,128.98056584798303,35.21220338769964,search:구+base
금사1,금정구,001,2,True,True,87000.0,129.11155412675234,35.216232329491135,search:구+지구명
망미2지구,수영구,001,2,True,True,26121.0,129.1030217847457,35.172338797402375,search:구+base
암남5지구,서구,006,2,False,True,2026.0,129.0127881159039,35.070415927906346,search:구+base
대저1지구,강서구,001,1,True,False,,128.98056584798303,35.21220338769964,search:구+base
대저2지구,강서구,001,2,True,False,789545.0,128.95490980519577,35.16641723495084,search:지구명
문현동 문현지구,남구,001,1,True,False,10092.0,129.0698763006828,35.13896720181156,search:지구명
우암동 석천아파트,남구,002,2,False,False,20106.0,129.07440116594393,35.126150220178374,search:지구명
이천,기장군,003,3,False,False,2500000.0,129.24033662508538,35.273407804088045,search:구+지구명
원리,기장군,003,3,False,False,2400000.0,128.9186464003727,35.36488640103001,search:지구명
19호군도,기장군,002,2,False,False,1000.0,129.201115806474,35.297845498798694,구중심근사
민락1지구,수영구,001,2,True,True,57957.0,129.12042138535662,35.157405338722995,search:구+base
범일2지구,동구,001,2,True,True,12838.0,129.04243339584798,35.145628199778336,search:구+base
구덕포지구,해운대구,006,1,False,False,14543.0,129.19698383049763,35.16970133113625,search:구+base
용수,기장군,002,2,False,False,50.0,129.18039739982973,35.325480800537804,search:지구명
장전,기장군,001,3,True,False,10000.0,129.14668424423368,35.274559421860275,search:지구명
삼락지구,사상구,001,1,True,True,783764.0,128.9962900605588,35.18465570564878,search:지구명
초량지구,동구,001,1,True,True,54344.0,129.03748589966915,35.1178255020126,search:지구명
수영만지구,해운대구,006,1,False,True,171100.0,129.13806400048662,35.16250180018628,search:구+base
용호동 이기대공원,남구,002,3,False,False,45239.0,129.12263169973937,35.123719499857835,search:지구명
대연동 송선마을,남구,001,1,True,False,35000.0,129.09438137866385,35.12538441768226,구중심근사
방곡지구,기장군,001,2,True,True,53688.0,129.19234283931908,35.32665168372838,search:구+base
대연지구,남구,001,1,True,True,232771.0,129.1019889962241,35.13787060492498,search:지구명
민락2지구,수영구,006,1,False,True,63799.0,129.12042138535662,35.157405338722995,search:구+base
문현동 동천,남구,001,2,True,False,80000.0,129.0634248001373,35.146714109942984,search:지구명
반여지구,해운대구,001,1,True,False,22000.0,129.14084026612665,35.20537960960304,search:지구명
거제지구,연제구,001,2,True,False,136159.0,129.07322200491396,35.184054401076615,search:지구명
장림지구,사하구,001,1,True,False,306644.0,128.9775615775908,35.08030341848676,search:구+base
괴정지구,사하구,001,1,True,False,157520.0,128.98825800207294,35.099452703748575,search:지구명
감천지구,사하구,001,1,True,False,7253.0,129.00322900591527,35.08834720348879,search:지구명
하단지구,사하구,001,1,True,True,147612.0,128.96522099605897,35.104505300133695,search:지구명
신포지구,강서구,001,2,True,False,,128.9310840331488,35.114066700706054,search:구+base
성산2지구,강서구,006,1,False,False,,128.8963082664212,35.12371594420136,search:구+base
