시설명,시군구,총길이,높이,lon,lat,method
장평지하차도,사하구,2000.0,4.5,128.98598520621476,35.08552345030864,search:시설명
신선대지하차도,남구,1800.0,4.7,129.09759525226923,35.11985141672881,search:시설명
센텀시티지하차도,해운대구,1370.0,5.0,129.12564315905314,35.17107732982501,search:시설명
감천지하차도,사하구,1134.0,4.7,129.01329299255576,35.08332109625147,search:시설명
장전지하차도,금정구,1000.0,4.8,129.07984530040792,35.233379699739345,search:구+base
와석지하차도,북구,604.0,4.5,129.01949531258128,35.23492822253057,search:시설명
좌동 지하차도,해운대구,566.0,4.5,129.18360209741112,35.17624555831469,search:시설명
봉림지하차도,강서구,470.0,7.0,128.90103177163328,35.175750577967676,search:시설명
센텀지하차도,해운대구,460.0,4.5,129.12564315905314,35.17107732982501,search:시설명
문전교차로 지하차도,부산진구,436.0,4.7,,,FAIL
범천지하차도,부산진구,423.0,4.5,129.0557541851341,35.14758099508216,search:시설명
대남지하차도,남구,410.0,5.0,129.10515879204996,35.14001807377671,search:시설명
수영강변 지하차도,해운대구,400.0,5.0,129.1182968290632,35.18453691033429,search:시설명
명지지하차도,강서구,380.0,4.5,128.90359415720312,35.0890357387703,search:시설명
중동지하차도,해운대구,370.0,4.5,129.1653237943984,35.166385692514034,search:시설명
문현지하차도,남구,260.0,10.0,129.06810332953998,35.137083368034425,search:시설명
우장춘 지하차도,동래구,244.0,4.6,129.0724716538482,35.2156425130951,search:시설명
안락 지하차도,동래구,200.0,4.6,129.09699108534903,35.19820917552604,search:시설명
내성 지하차도,동래구,185.0,4.6,129.0779958380917,35.20435877168556,search:시설명
주례지하차도,사상구,183.0,5.0,129.00301615804474,35.15137956378185,search:시설명
개금지하차도,부산진구,179.0,4.3,129.02494156456797,35.15488117346917,search:시설명
부산진시장 지하차도,동구,178.0,4.0,129.05791843471553,35.13711332756901,search:시설명
초량제1지하차도,동구,175.0,3.5,129.03710993267023,35.11490468006352,search:구+base
명지동진 지하차도,강서구,160.0,4.8,128.92689318970892,35.09732774354401,search:시설명
우동 지하차도,해운대구,146.0,4.5,129.12564315905314,35.17107732982501,search:시설명
당감지하차도,부산진구,141.0,4.0,129.04103945371145,35.1574402284529,search:시설명
구서 지하차도,금정구,140.0,5.0,129.09280070310464,35.24650790255681,search:시설명
대상지하차도,강서구,130.0,4.9,128.97376670890495,35.21171407396941,search:시설명
문화지하차도,남구,129.0,5.0,129.08134392260712,35.11846912578311,search:구+base
금호지하차도,강서구,120.0,7.4,128.95996304757693,35.167858983604276,search:시설명
감고개공원복개구조물,부산진구,105.0,6.5,129.03342858954153,35.148723406801466,search:구+base
한일시멘트,사상구,79.0,4.5,128.98714999645506,35.17230100197419,search:구+norm
만덕2터널밑지하보차도,북구,72.0,4.6,,,FAIL
보훈병원3,사상구,53.0,5.0,,,FAIL
괘법동,사상구,48.0,2.0,128.9933013380128,35.16615067021781,search:시설명
주례우체국 뒤,사상구,46.0,4.2,128.99742860027314,35.15164404994685,search:시설명
삼락생태공원(1),사상구,43.0,2.2,128.96818189558917,35.17027078830637,search:시설명
번영로지하차도(정보화),수영구,40.0,5.0,129.11113630020844,35.16791339977593,search:구+base
동부지하차도,기장군,40.0,4.8,129.21693372800476,35.249390759248115,search:시설명
감현2교 지하보차도,사상구,40.0,3.0,,,FAIL
화명2지하차도(화명대림쌍용아파트지하차도),북구,37.0,5.0,129.01029029991048,35.23564420021953,search:구+base
화명5 지하차도,북구,37.0,4.5,129.0427096655479,35.25281912274849,search:구+base
자유아파트,사상구,35.0,4.5,128.98935336688277,35.17911054612912,search:시설명
삼락생태공원(2),사상구,32.0,4.2,128.97703810599785,35.16930106904615,search:시설명
삼락생태공원(3),사상구,32.0,2.2,128.9722960034556,35.175096702268874,search:norm
보훈병원1,사상구,30.0,5.0,,,FAIL
용천지하차도,해운대구,30.0,4.2,129.15205553118105,35.222263550634814,search:구+base
구남 굴다리,북구,26.0,4.1,128.99679629569988,35.200633313179296,search:구+base
범일지하도,부산진구,25.0,3.5,129.06237319449153,35.14223599800623,search:구+base
만덕고개생태통로,북구,25.0,8.0,,,FAIL
덕천동폴리텍대학진입지하차도(덕천2육교),북구,20.0,4.1,,,FAIL
감현2교,사상구,17.0,2.0,,,FAIL
영락공원지하차도,금정구,17.0,2.0,129.10311710525698,35.27750880040255,search:구+base
무곡지하차도,기장군,17.0,4.38,129.21199186462442,35.2281297575579,search:구+base
삼성2지하차도,기장군,14.0,4.35,129.23401479574437,35.26500270389006,search:구+base
모라북구경계 지하차도,사상구,8.2,2.1,,,FAIL
