제공기관,데이터명,시계열,사용 변수 / 용도,형식
국토지리정보원,수치표고모델 DEM 30m,2023,표고·경사·TPI·저지대·HAND·TWI·흐름누적·수계거리,GeoTIFF
행정안전부,침수흔적도,2009~2022 (18개 사건),침수면적·침수심·발생일시·원인 (타깃),SHP
행정안전부,자연재해위험개선지구,2025,지정 현황 (기준선 비교),API
환경부,홍수위험지도 (하천200년·도시침수100년),2023,범람 면적비·등급,SHP
환경부,세분류 토지피복지도 11차,2021,불투수율·농경·산림·수계·도로 비율,WFS
통계청 SGIS,인구 격자 (1km) · 행정경계,2024,총인구·65세이상·연령별 (dasymetric 배분),SHP
국토교통부,GIS건물통합정보,2024,건물수·연면적·지하층·최고층수,SHP
기상청,AWS 방재기상관측 시간자료,2009~2025 · 14지점,시간 강수량 (유발강우 산출),CSV
기상청,ASOS 종관기상관측 시간자료,2009~2025 · 2지점,시간 강수량,CSV
부산광역시,도시공간정보 하수맨홀,2025,준설미실시 비율 (배수 불량 대리지표),SHP
환경부,전국 배수펌프장 표준데이터,2024,펌프장 거리·개수 (대응역량),CSV
부산광역시,지하차도 현황,2024,지하차도 개수·연장 (노출),CSV
부산시 Big-데이터웨이브,119 소방출동정보,2020~2025 · 강우일 100일,"배수출동 (독립 교차검증, 모델 미채택)",API
