,pop,pop_65,bldg_cnt,floor_area,resid_floor_area,basement_bldg,max_floors,old_ratio,fluv_grade,fluv_area_ratio,pluv_grade,pluv_area_ratio,elev_mean,elev_min,slope_mean,lowland5_ratio,lowland3_ratio,tpi,pump_dist_m,pump_n_500m,pump_n_1000m,rain_annmax_mm,rain_ratio,underpass_cnt,underpass_len_m,underpass_min_height_m,underpass_n_300m,underpass_n_500m,underpass_dist_m
pop,1.0,0.962,0.716,0.704,0.836,0.614,0.71,0.919,0.033,0.031,-0.016,-0.018,-0.196,-0.183,-0.225,-0.047,-0.082,-0.12,-0.212,0.102,0.135,-0.033,-0.033,0.008,0.008,-0.267,0.079,0.123,-0.249
pop_65,0.962,1.0,0.724,0.708,0.864,0.635,0.717,0.963,0.04,0.038,0.016,0.013,-0.198,-0.186,-0.229,-0.047,-0.076,-0.12,-0.212,0.103,0.136,-0.035,-0.035,0.009,0.009,-0.266,0.085,0.131,-0.277
bldg_cnt,0.716,0.724,1.0,0.976,0.8,0.729,0.971,0.663,0.117,0.119,-0.01,-0.012,-0.28,-0.266,-0.307,-0.016,-0.081,-0.166,-0.278,0.156,0.206,-0.022,-0.022,0.02,0.02,-0.159,0.108,0.164,-0.296
floor_area,0.704,0.708,0.976,1.0,0.777,0.752,0.992,0.629,0.095,0.097,-0.019,-0.021,-0.274,-0.261,-0.299,-0.028,-0.098,-0.156,-0.282,0.159,0.214,-0.024,-0.024,0.02,0.02,-0.126,0.114,0.172,-0.304
resid_floor_area,0.836,0.864,0.8,0.777,1.0,0.711,0.792,0.783,0.019,0.019,0.017,0.015,-0.181,-0.169,-0.206,-0.097,-0.113,-0.141,-0.202,0.113,0.146,-0.05,-0.05,0.011,0.011,-0.223,0.098,0.152,-0.294
basement_bldg,0.614,0.635,0.729,0.752,0.711,1.0,0.756,0.526,-0.042,-0.041,-0.032,-0.032,-0.147,-0.136,-0.171,-0.152,-0.183,-0.13,-0.218,0.116,0.157,-0.062,-0.062,0.022,0.022,-0.061,0.125,0.19,-0.346
max_floors,0.71,0.717,0.971,0.992,0.792,0.756,1.0,0.638,0.085,0.087,-0.016,-0.017,-0.269,-0.257,-0.291,-0.037,-0.102,-0.162,-0.278,0.16,0.213,-0.031,-0.031,0.021,0.021,-0.153,0.116,0.176,-0.309
old_ratio,0.919,0.963,0.663,0.629,0.783,0.526,0.638,1.0,0.06,0.057,0.039,0.036,-0.181,-0.17,-0.213,-0.027,-0.052,-0.114,-0.173,0.081,0.099,-0.012,-0.012,0.007,0.007,-0.285,0.067,0.103,-0.234
fluv_grade,0.033,0.04,0.117,0.095,0.019,-0.042,0.085,0.06,1.0,0.997,0.258,0.257,-0.472,-0.465,-0.471,0.542,0.52,0.023,-0.284,0.144,0.186,0.375,0.375,0.004,0.004,0.072,0.009,0.01,-0.084
fluv_area_ratio,0.031,0.038,0.119,0.097,0.019,-0.041,0.087,0.057,0.997,1.0,0.24,0.24,-0.474,-0.465,-0.476,0.545,0.521,0.025,-0.286,0.141,0.186,0.376,0.376,0.003,0.003,0.053,0.008,0.008,-0.083
pluv_grade,-0.016,0.016,-0.01,-0.019,0.017,-0.032,-0.016,0.039,0.258,0.24,1.0,1.0,-0.253,-0.255,-0.198,0.189,0.213,0.039,0.017,-0.044,-0.081,0.195,0.195,0.011,0.011,0.354,0.017,0.029,-0.184
pluv_area_ratio,-0.018,0.013,-0.012,-0.021,0.015,-0.032,-0.017,0.036,0.257,0.24,1.0,1.0,-0.255,-0.256,-0.2,0.19,0.214,0.038,0.018,-0.044,-0.081,0.195,0.195,0.011,0.011,0.354,0.016,0.028,-0.184
elev_mean,-0.196,-0.198,-0.28,-0.274,-0.181,-0.147,-0.269,-0.181,-0.472,-0.474,-0.253,-0.255,1.0,0.993,0.829,-0.783,-0.731,0.136,0.565,-0.218,-0.35,-0.124,-0.124,-0.013,-0.013,-0.085,-0.067,-0.099,0.21
elev_min,-0.183,-0.186,-0.266,-0.261,-0.169,-0.136,-0.257,-0.17,-0.465,-0.465,-0.255,-0.256,0.993,1.0,0.782,-0.783,-0.735,0.127,0.567,-0.224,-0.354,-0.109,-0.109,-0.012,-0.012,-0.118,-0.065,-0.096,0.202
slope_mean,-0.225,-0.229,-0.307,-0.299,-0.206,-0.171,-0.291,-0.213,-0.471,-0.476,-0.198,-0.2,0.829,0.782,1.0,-0.695,-0.647,0.088,0.442,-0.185,-0.289,-0.236,-0.236,-0.014,-0.014,-0.027,-0.069,-0.101,0.213
lowland5_ratio,-0.047,-0.047,-0.016,-0.028,-0.097,-0.152,-0.037,-0.027,0.542,0.545,0.189,0.19,-0.783,-0.783,-0.695,1.0,0.924,0.02,-0.391,0.171,0.252,0.272,0.272,-0.0,-0.0,-0.003,-0.001,-0.004,-0.069
lowland3_ratio,-0.082,-0.076,-0.081,-0.098,-0.113,-0.183,-0.102,-0.052,0.52,0.521,0.213,0.214,-0.731,-0.735,-0.647,0.924,1.0,0.025,-0.336,0.13,0.202,0.286,0.286,-0.004,-0.004,0.113,-0.007,-0.017,-0.053
tpi,-0.12,-0.12,-0.166,-0.156,-0.141,-0.13,-0.162,-0.114,0.023,0.025,0.039,0.038,0.136,0.127,0.088,0.02,0.025,1.0,-0.039,0.009,0.019,0.048,0.048,-0.007,-0.007,0.069,-0.022,-0.021,-0.0
pump_dist_m,-0.212,-0.212,-0.278,-0.282,-0.202,-0.218,-0.278,-0.173,-0.284,-0.286,0.017,0.018,0.565,0.567,0.442,-0.391,-0.336,-0.039,1.0,-0.398,-0.642,-0.005,-0.005,-0.018,-0.018,0.007,-0.093,-0.148,0.484
pump_n_500m,0.102,0.103,0.156,0.159,0.113,0.116,0.16,0.081,0.144,0.141,-0.044,-0.044,-0.218,-0.224,-0.185,0.171,0.13,0.009,-0.398,1.0,0.57,0.031,0.031,0.017,0.017,-0.02,0.098,0.15,-0.156
pump_n_1000m,0.135,0.136,0.206,0.214,0.146,0.157,0.213,0.099,0.186,0.186,-0.081,-0.081,-0.35,-0.354,-0.289,0.252,0.202,0.019,-0.642,0.57,1.0,0.066,0.066,0.019,0.019,-0.015,0.1,0.153,-0.253
rain_annmax_mm,-0.033,-0.035,-0.022,-0.024,-0.05,-0.062,-0.031,-0.012,0.375,0.376,0.195,0.195,-0.124,-0.109,-0.236,0.272,0.286,0.048,-0.005,0.031,0.066,1.0,1.0,0.005,0.005,-0.103,0.03,0.047,-0.185
rain_ratio,-0.033,-0.035,-0.022,-0.024,-0.05,-0.062,-0.031,-0.012,0.375,0.376,0.195,0.195,-0.124,-0.109,-0.236,0.272,0.286,0.048,-0.005,0.031,0.066,1.0,1.0,0.005,0.005,-0.103,0.03,0.047,-0.185
underpass_cnt,0.008,0.009,0.02,0.02,0.011,0.022,0.021,0.007,0.004,0.003,0.011,0.011,-0.013,-0.012,-0.014,-0.0,-0.004,-0.007,-0.018,0.017,0.019,0.005,0.005,1.0,1.0,-0.029,0.187,0.113,-0.041
underpass_len_m,0.008,0.009,0.02,0.02,0.011,0.022,0.021,0.007,0.004,0.003,0.011,0.011,-0.013,-0.012,-0.014,-0.0,-0.004,-0.007,-0.018,0.017,0.019,0.005,0.005,1.0,1.0,0.39,0.187,0.113,-0.041
underpass_min_height_m,-0.267,-0.266,-0.159,-0.126,-0.223,-0.061,-0.153,-0.285,0.072,0.053,0.354,0.354,-0.085,-0.118,-0.027,-0.003,0.113,0.069,0.007,-0.02,-0.015,-0.103,-0.103,-0.029,0.39,1.0,-0.029,-0.12,-0.009
underpass_n_300m,0.079,0.085,0.108,0.114,0.098,0.125,0.116,0.067,0.009,0.008,0.017,0.016,-0.067,-0.065,-0.069,-0.001,-0.007,-0.022,-0.093,0.098,0.1,0.03,0.03,0.187,0.187,-0.029,1.0,0.602,-0.214
underpass_n_500m,0.123,0.131,0.164,0.172,0.152,0.19,0.176,0.103,0.01,0.008,0.029,0.028,-0.099,-0.096,-0.101,-0.004,-0.017,-0.021,-0.148,0.15,0.153,0.047,0.047,0.113,0.113,-0.12,0.602,1.0,-0.346
